joy,"On days when I feel close to my partner and other friends.   
When I feel at peace with myself and also experience a close  
contact with people whom I regard greatly.",
fear,"Every time I imagine that someone I love or I could contact a  
serious illness, even death.",
anger,"When I had been obviously unjustly treated and had no possibility  
of elucidating this.",
sadness,"When I think about the short time that we live and relate it to  
the periods of my life when I think that I did not use this  
short time.",
disgust,"At a gathering I found myself involuntarily sitting next to two  
people who expressed opinions that I considered very low and  
discriminating.",
shame,"When I realized that I was directing the feelings of discontent  
with myself at my partner and this way was trying to put the blame  
on him instead of sorting out my own feeliings.",
guilt,"I feel guilty when when I realize that I consider material things  
more important than caring for my relatives.  I feel very  
self-centered.",
joy,"After my girlfriend had taken her exam we went to her parent's  
place.",
fear,"When, for the first time I realized the meaning of death.",
anger,"When a car is overtaking another and I am forced to drive off the  
road.",
sadness,"When I recently thought about the hard work it takes to study, and   
how one wants to try something else.  When I read a theoretical  
book in English that I did not understand.",
disgust,When I found a bristle in the liver paste tube.,
shame,"When I was tired and unmotivated, I shouted at my girlfriend and  
and brought up negative sides of her character which are actually  
not so important.",
guilt,"When I think that I do not study enough.  After the weekend I  
think that I should have been able to have accomplished  
something during that time.",
joy,When I pass an examination which I did not think I did well.,
fear,"When one has arranged to meet someone and that person arrives  
late, in the meantime one starts thinking about all that could  
have gone wrong e.g a traffic accident.",
anger,When one is unjustly accused of something one has not done.,
sadness,When one's studies seem hopelessly difficult and uninteresting.  ,
disgust,"When one finds out that someone you know is not at all like one  
had thought, for instance friends who steal and things like that,  
quite unwarranted.",
shame,"When one has been unjust, stupid towards someone else. ",
guilt,When one has neglected or been unjust to a good friend.,
joy,Passing an exam I did not expect to pass.,
fear,"When I climbed up a tree to pick apples.  The angle of the ladder  
I was on did not enable me to get high enough.  This implied  
that the ladder was not very stable.",
guilt,When excuses are necessary and I get out of doing it myself.,
joy,When I had my children.,
fear,"When my 2 year old son climbed up and sat on the 7th floor  
balcony with his legs hanging out.  He was holding on tightly to  
the upper railing of the balcony but he could have easily lost  
his balance when he sat down.",
anger,When my partner was attacked and lost three teeth.,
sadness,"When I see children on T.V from areas devastated by drought and  
war.",
disgust,When I nearly walked on a blindworm and then saw it crawl away.,
shame,"When I saw my 18 year old son grab an oxygen mask as he had  
breathing difficulties.  I had a bad conscience because I had not  
stopped smoking.  Medication for the dilation of his breathing  
tubes also caused a sense of guilt in me.",
guilt,"I experience a sense of guilt as my middle son cannot express  
himself like other children, neither verbally nor in writing.",
joy,When my child was born.,
fear,"It was spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.
 The branch went through the ice and I fell in, the water closed  
in over my head.",
anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  ",
sadness,Failing an examination.,
disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that  
turned into sadness-unpleasantness.",
shame,"When, as an adult I have been caught lying or behaving badly.",
guilt,"When I am in an environment or with a person much worse off than  
me, I realize how privileged I am.",
joy,When I saw a person I had not seen for a long time.,
fear,"When, as a child, I was nearly knocked down by a car.",
anger,"When I heard on the radio that the football match in Belgium had  
ended in a catastrophe, and several people had died.  I could not  
 understand how normal people could behave in such a way.",
sadness,"When I feel lonely, perhaps because I have to study a lot and I  
am shut up in my appartment.  Nothing happens in particular  
because there is no time for anything else.",
disgust,"When one learns through the mass media all the wars and killing  
going on in the world.",
shame,"I lied, to be precise I cancelled a meeting with a good friend.",
guilt,When one lets friends down,
joy,When I was accepted for a course on finance and accounting.,
fear,"A bus drove over my right leg.  The event itself was not very  
frightening but when I had to wait in the emergency ward for  
three hours and then my leg began to swell, I was frightened.",
anger,"At my Summer job, nobody looked after me in particular and I had  
to learn all on my own.",
sadness,When I was not accepted as a student in finance and accounting.,
disgust,"When I had just moved into my new appartment I found a ventilator  
in the kitchen.  I was going to clean it when I found that the  
drum was full of mud and slime.  I felt disgusted.",
shame,"My elder brother and I have not always had a good relationship  
and I feel ashamed of myself as I do not call him to talk to him  
nowadays.",
guilt,"At my Summer job a new caretaker had been employed who was my age  
 but I preferred going out for lunch with the accounts personnel  
rather than with him.",
joy,Passed an exam by 2 points.,
fear,"In a cottage in a large forest, I was alone for a while in the  dark.",
sadness,Railway station good-bye.,
disgust,"I saw a cripple in rags with small children in Italy.  He was  
probably an imposter.",
shame,"I told a friend that I was going to a party and he would not  
enjoy himself if he came along.  He understood  that he would not  
have fitted in and there was something in that.",
guilt,"I was the reason behind the break-up of my friend's relationship  
with his girlfriend.  She finished with him.",
joy,I passed an exam that I was absolutely certain that I had failed.,
fear,"On the way back from Denmark with a friend on a small yatch,  
there was a storm and my friend was blown overboard;  I was very  
scared till I managed to get him back onboard.",
anger,I locked myself out.,
